company_code,document_number,description,payment_type,amount,currency_code,transaction_type,seller_number,customer_number,main_account,desc_length,desc_has_numbers,desc_uppercase_ratio,has_tckn,has_vkn,has_tckn_or_vkn,has_hvl,has_int,has_cepsube,has_komisyon,has_ucret,has_masraf,has_odeme,has_tahsilat,has_havale,has_virman,has_fatura,has_cek,has_eft,has_company_name,number_count,has_dash,has_dot,amount_log,amount_range,trans_pay_combo,company_group,doc_number_first_digit,doc_number_length,is_check_transaction,is_eft_transaction,is_transfer,is_high_amount,desc_suggests_seller,desc_suggests_customer,expects_seller,expects_customer,expects_main_account,payment_type_encoded,transaction_type_encoded,trans_pay_combo_encoded,amount_range_encoded,company_group_encoded,doc_number_first_digit_encoded,company_code_encoded
1000,4200008727,90001AIFA2ILB,S,70000.0,TRY,NEFT,3200200012.0,,,13,1,0.5384615384615384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,11.156264806643742,large,NEFT_S,group_A,4,10,0,1,0,0,0,0,1,0,0,1,2,3,0,0,0,1000
1000,4200008730,90001AIFA2FOK,S,20000.0,TRY,NEFT,3200200007.0,,,13,1,0.5384615384615384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,9.90353755128617,large,NEFT_S,group_A,4,10,0,1,0,0,0,0,1,0,0,1,2,3,0,0,0,1000
1000,4200008731,90001AIFA2VIZ,S,50000.0,TRY,NEFT,3200101782.0,,,13,1,0.5384615384615384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,10.819798284210286,large,NEFT_S,group_A,4,10,0,1,0,0,0,0,1,0,0,1,2,3,0,0,0,1000
1000,4200008732,90001AIFA2ILA,S,100000.0,TRY,NEFT,3200200008.0,,,13,1,0.5384615384615384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,11.51293546492023,large,NEFT_S,group_A,4,10,0,1,0,0,0,0,1,0,0,1,2,3,0,0,0,1000
1000,4200008733,90001AIFA2VIZ,S,100000.0,TRY,NEFT,3200101782.0,,,13,1,0.5384615384615384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,11.51293546492023,large,NEFT_S,group_A,4,10,0,1,0,0,0,0,1,0,0,1,2,3,0,0,0,1000
1000,4200008738,90001AIFA2DRT,S,1000000.0,TRY,NEFT,3200100583.0,,,13,1,0.5384615384615384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,13.815511557963774,xlarge,NEFT_S,group_A,4,10,0,1,0,1,0,0,1,0,0,1,2,3,5,0,0,1000
1000,4200008744,90001AIFA2AHM,S,19200.0,TRY,NEFT,3200104903.0,,,13,1,0.5384615384615384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,9.862717639992917,large,NEFT_S,group_A,4,10,0,1,0,0,0,0,1,0,0,1,2,3,0,0,0,1000
1000,4200008745,90001AIFA2TEL,S,24781.6,TRY,NEFT,3200108287.0,,,13,1,0.5384615384615384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,10.117897073004329,large,NEFT_S,group_A,4,10,0,1,0,0,0,0,1,0,0,1,2,3,0,0,0,1000
1000,4200008746,90001AIFA2TRA,S,200000.0,TRY,NEFT,3200104204.0,,,13,1,0.5384615384615384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,12.206077645517674,xlarge,NEFT_S,group_A,4,10,0,1,0,0,0,0,1,0,0,1,2,3,5,0,0,1000
1000,4200008747,90001AIFA2BLA,S,600000.0,TRY,NEFT,3200106660.0,,,13,1,0.5384615384615384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,13.304686600863562,xlarge,NEFT_S,group_A,4,10,0,1,0,1,0,0,1,0,0,1,2,3,5,0,0,1000
1000,4200008715,HGSHESAPTANBAKIYEYUKLEMEDUZENLITALIMAT34402,S,175.0,TRY,NMSC,3200102480.0,,,43,1,0.8837209302325582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,5.170483995038151,small,NMSC_S,group_A,4,10,0,0,0,0,0,0,1,0,0,1,3,5,4,0,0,1000
1000,4200008716,HGSHESAPTANBAKIYEYUKLEMEDUZENLITALIMAT34706,S,200.0,TRY,NMSC,3200102480.0,,,43,1,0.8837209302325582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,5.303304908059076,small,NMSC_S,group_A,4,10,0,0,0,0,0,0,1,0,0,1,3,5,4,0,0,1000
